Date,TimeOfDay,AppCategory,DailyUsage,SessionUsage,,daily usage: cumulative of session usage
10/26/2025,19,social,39,0,,
10/26/2025,20,social,39,0,,
10/26/2025,21,social,39,0,,
10/26/2025,22,social,39,0,,
10/26/2025,23,social,39,0,,
10/26/2025,0,entertainment,10,10,,
10/26/2025,1,entertainment,10,0,,
10/26/2025,2,entertainment,10,0,,
10/26/2025,3,entertainment,27,17,,
10/26/2025,4,entertainment,27,0,,
10/26/2025,5,entertainment,27,0,,
10/26/2025,6,entertainment,27,0,,
10/26/2025,7,entertainment,27,0,,
10/26/2025,8,entertainment,27,0,,
10/26/2025,9,entertainment,76,49,,
10/26/2025,10,entertainment,89,13,,
10/26/2025,11,entertainment,116,27,,
10/26/2025,12,entertainment,139,23,,
10/26/2025,13,entertainment,181,42,,
10/26/2025,14,entertainment,194,13,,
10/26/2025,15,entertainment,209,15,,
10/26/2025,16,entertainment,231,22,,
10/26/2025,17,entertainment,231,0,,
10/26/2025,18,entertainment,232,1,,
10/26/2025,19,entertainment,249,17,,
10/26/2025,20,entertainment,249,0,,
10/26/2025,21,entertainment,249,0,,
10/26/2025,22,entertainment,249,0,,
10/26/2025,23,entertainment,255,6,,
10/26/2025,0,others,0,0,,
10/26/2025,1,others,0,0,,
10/26/2025,2,others,0,0,,
10/26/2025,3,others,0,0,,
10/26/2025,4,others,0,0,,
10/26/2025,5,others,0,0,,
10/26/2025,6,others,0,0,,
10/26/2025,7,others,0,0,,
10/26/2025,8,others,0,0,,
10/26/2025,9,others,0,0,,
10/26/2025,10,others,0,0,,
10/26/2025,11,others,28,28,,
10/26/2025,12,others,28,0,,
10/26/2025,13,others,28,0,,
10/26/2025,14,others,28,0,,
10/26/2025,15,others,28,0,,
10/26/2025,16,others,28,0,,
10/26/2025,17,others,28,0,,
10/26/2025,18,others,28,0,,
10/26/2025,19,others,28,0,,
10/26/2025,20,others,28,0,,
10/26/2025,21,others,28,0,,
10/26/2025,22,others,28,0,,
10/26/2025,23,others,28,0,,
10/27/2025,0,social,0,0,,
10/27/2025,1,social,0,0,,
10/27/2025,2,social,0,0,,
10/27/2025,3,social,0,0,,
10/27/2025,4,social,0,0,,
10/27/2025,5,social,0,0,,
10/27/2025,6,social,0,0,,
10/27/2025,7,social,13,13,,
10/27/2025,8,social,13,0,,
10/27/2025,9,social,17,4,,
10/27/2025,10,social,25,8,,
10/27/2025,11,social,25,0,,
10/27/2025,12,social,36,11,,
10/27/2025,13,social,56,20,,
